CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2017.0,5.0,2021.0,8.0,2024.0,48.0,46.0,0.0,2.0,0.0,95.83333333,0.0,4.166666667,0.0,4.166666667
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2018.0,5.0,2021.0,8.0,2024.0,48.0,43.0,0.0,3.0,0.0,89.58333333,0.0,10.41666667,0.0,6.25
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2019.0,5.0,2021.0,8.0,2024.0,48.0,35.0,1.0,7.0,0.0,72.91666667,2.083333333,25.0,2.083333333,14.58333333
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2020.0,5.0,2021.0,8.0,2024.0,48.0,29.0,4.0,2.0,0.0,60.41666667,10.41666667,29.16666667,8.333333333,4.166666667
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2021.0,5.0,2021.0,8.0,2024.0,48.0,16.0,8.0,5.0,0.0,33.33333333,27.08333333,39.58333333,16.66666667,10.41666667
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2022.0,5.0,2021.0,8.0,2024.0,48.0,8.0,3.0,5.0,0.0,16.66666667,33.33333333,50.0,6.25,10.41666667
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2023.0,5.0,2021.0,8.0,2024.0,48.0,6.0,2.0,0.0,0.0,12.5,37.5,50.0,4.166666667,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2017.0,2024.0,5.0,2021.0,8.0,2024.0,48.0,3.0,2.0,1.0,0.0,6.25,41.66666667,52.08333333,4.166666667,2.083333333
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2017.0,2017.0,5.0,2021.0,8.0,2024.0,27.0,25.0,0.0,2.0,0.0,92.59259259,0.0,7.407407407,0.0,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2017.0,2018.0,5.0,2021.0,8.0,2024.0,27.0,21.0,1.0,3.0,0.0,77.77777778,3.703703704,18.51851852,3.703703704,11.11111111
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2017.0,2019.0,5.0,2021.0,8.0,2024.0,27.0,17.0,0.0,4.0,0.0,62.96296296,3.703703704,33.33333333,0.0,14.81481481
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2017.0,2020.0,5.0,2021.0,8.0,2024.0,27.0,16.0,0.0,1.0,0.0,59.25925926,3.703703704,37.03703704,0.0,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2017.0,2021.0,5.0,2021.0,8.0,2024.0,27.0,13.0,0.0,3.0,0.0,48.14814815,3.703703704,48.14814815,0.0,11.11111111
